FIPS,Admin2,Province_State,Country_Region,Last_Update,Lat,Long_,Confirmed,Deaths,Recovered,Active,Combined_Key,Incidence_Rate,Case-Fatality_Ratio
45001,Abbeville,South Carolina,US,6/8/2020 3:33,34.22333378,-82.46170658,51,0,0,51,"Abbeville, South Carolina, US",207.9341134,0
22001,Acadia,Louisiana,US,6/8/2020 3:33,30.2950649,-92.41419698,502,28,0,474,"Acadia, Louisiana, US",809.0901765,5.577689243
51001,Accomack,Virginia,US,6/8/2020 3:33,37.76707161,-75.63234615,970,13,0,957,"Accomack, Virginia, US",3001.60911,1.340206186
16001,Ada,Idaho,US,6/8/2020 3:33,43.4526575,-116.2415516,838,22,0,816,"Ada, Idaho, US",174.0080193,2.625298329
19001,Adair,Iowa,US,6/8/2020 3:33,41.33075609,-94.47105874,9,0,0,9,"Adair, Iowa, US",125.8389262,0
21001,Adair,Kentucky,US,6/8/2020 3:33,37.10459774,-85.28129668,99,19,0,80,"Adair, Kentucky, US",515.5712947,19.19191919
29001,Adair,Missouri,US,6/8/2020 3:33,40.19058551,-92.60078167,72,0,0,72,"Adair, Missouri, US",284.1021189,0
40001,Adair,Oklahoma,US,6/8/2020 3:33,35.88494195,-94.65859267,94,4,0,90,"Adair, Oklahoma, US",423.5378931,4.255319149
8001,Adams,Colorado,US,6/8/2020 3:33,39.87432092,-104.3362578,3575,136,0,3439,"Adams, Colorado, US",690.9267308,3.804195804
16003,Adams,Idaho,US,6/8/2020 3:33,44.89333571,-116.4545247,3,0,0,3,"Adams, Idaho, US",69.86492781,0
17001,Adams,Illinois,US,6/8/2020 3:33,39.98815591,-91.18786813,46,1,0,45,"Adams, Illinois, US",70.29876977,2.173913043
18001,Adams,Indiana,US,6/8/2020 3:33,40.7457653,-84.93671406,22,1,0,21,"Adams, Indiana, US",61.49202001,4.545454545
19003,Adams,Iowa,US,6/8/2020 3:33,41.02903567,-94.69932645,7,0,0,7,"Adams, Iowa, US",194.3364797,0
28001,Adams,Mississippi,US,6/8/2020 3:33,31.47669768,-91.35326037,204,16,0,188,"Adams, Mississippi, US",664.6466621,7.843137255
31001,Adams,Nebraska,US,6/8/2020 3:33,40.5244942,-98.50117804,275,11,0,264,"Adams, Nebraska, US",876.8293849,4
39001,Adams,Ohio,US,6/8/2020 3:33,38.84541072,-83.4718964,11,1,0,10,"Adams, Ohio, US",39.71405878,9.090909091
42001,Adams,Pennsylvania,US,6/8/2020 3:33,39.87140411,-77.21610347,273,8,0,265,"Adams, Pennsylvania, US",265.0253861,2.93040293
53001,Adams,Washington,US,6/8/2020 3:33,46.98299757,-118.5601734,79,0,0,79,"Adams, Washington, US",395.3360356,0
55001,Adams,Wisconsin,US,6/8/2020 3:33,43.96974651,-89.76782777,5,1,0,4,"Adams, Wisconsin, US",24.72799209,20
50001,Addison,Vermont,US,6/8/2020 3:33,44.03217337,-73.14130877,65,2,0,63,"Addison, Vermont, US",176.7408978,3.076923077
45003,Aiken,South Carolina,US,6/8/2020 3:33,33.54338026,-81.63645384,208,8,0,200,"Aiken, South Carolina, US",121.7285453,3.846153846
27001,Aitkin,Minnesota,US,6/8/2020 3:33,46.60962049,-93.4116826,12,0,0,12,"Aitkin, Minnesota, US",75.53820974,0
12001,Alachua,Florida,US,6/8/2020 3:33,29.67866525,-82.35928158,399,8,0,391,"Alachua, Florida, US",148.3034311,2.005012531
37001,Alamance,North Carolina,US,6/8/2020 3:33,36.0434701,-79.39976137,465,30,0,435,"Alamance, North Carolina, US",274.3217174,6.451612903
6001,Alameda,California,US,6/8/2020 3:33,37.64629437,-121.8929271,3805,101,0,3704,"Alameda, California, US",227.6631351,2.654402102
8003,Alamosa,Colorado,US,6/8/2020 3:33,37.57250606,-105.7885451,94,2,0,92,"Alamosa, Colorado, US",579.067332,2.127659574
36001,Albany,New York,US,6/8/2020 3:33,42.60060306,-73.97723916,1961,115,0,1846,"Albany, New York, US",641.8859204,5.864354921
56001,Albany,Wyoming,US,6/8/2020 3:33,41.65498705,-105.7235415,26,0,0,26,"Albany, Wyoming, US",66.87242798,0
51003,Albemarle,Virginia,US,6/8/2020 3:33,38.02080697,-78.55481085,221,8,0,213,"Albemarle, Virginia, US",202.1403092,3.619909502
26001,Alcona,Michigan,US,6/8/2020 3:33,44.6846864,-83.59507875,17,1,0,16,"Alcona, Michigan, US",163.3829889,5.882352941
28003,Alcorn,Mississippi,US,6/8/2020 3:33,34.88084463,-88.57996173,20,1,0,19,"Alcorn, Mississippi, US",54.12280464,5
17003,Alexander,Illinois,US,6/8/2020 3:33,37.18049267,-89.32910838,16,0,0,16,"Alexander, Illinois, US",277.7295608,0
37003,Alexander,North Carolina,US,6/8/2020 3:33,35.9223796,-81.17751948,43,0,0,43,"Alexander, North Carolina, US",114.6758407,0
51510,Alexandria,Virginia,US,6/8/2020 3:33,38.814003,-77.08183073,2070,45,0,2025,"Alexandria, Virginia, US",1298.391751,2.173913043
40003,Alfalfa,Oklahoma,US,6/8/2020 3:33,36.73090616,-98.32408495,1,0,0,1,"Alfalfa, Oklahoma, US",17.53770607,0
19005,Allamakee,Iowa,US,6/8/2020 3:33,43.28383218,-91.37860922,120,4,0,116,"Allamakee, Iowa, US",876.744356,3.333333333
26005,Allegan,Michigan,US,6/8/2020 3:33,42.59147037,-85.89102866,226,6,0,220,"Allegan, Michigan, US",191.3940431,2.654867257
24001,Allegany,Maryland,US,6/8/2020 3:33,39.62357628,-78.69280486,184,16,0,168,"Allegany, Maryland, US",261.304249,8.695652174
36003,Allegany,New York,US,6/8/2020 3:33,42.25748406,-78.02750466,51,0,0,51,"Allegany, New York, US",110.6506693,0
37005,Alleghany,North Carolina,US,6/8/2020 3:33,36.49360862,-81.12857041,28,0,0,28,"Alleghany, North Carolina, US",251.4142049,0
51005,Alleghany,Virginia,US,6/8/2020 3:33,37.78636074,-80.00222498,26,2,0,24,"Alleghany, Virginia, US",174.9663526,7.692307692
42003,Allegheny,Pennsylvania,US,6/8/2020 3:33,40.46809875,-79.98167747,2003,168,0,1835,"Allegheny, Pennsylvania, US",164.7142992,8.387418872
18003,Allen,Indiana,US,6/8/2020 3:33,41.09194313,-85.06800636,1883,74,0,1809,"Allen, Indiana, US",496.4421209,3.929899097
20001,Allen,Kansas,US,6/8/2020 3:33,37.88582951,-95.30030847,1,0,0,1,"Allen, Kansas, US",8.084727949,0
21003,Allen,Kentucky,US,6/8/2020 3:33,36.75197631,-86.19457544,102,3,0,99,"Allen, Kentucky, US",478.5362421,2.941176471
22003,Allen,Louisiana,US,6/8/2020 3:33,30.65385745,-92.82442028,186,10,0,176,"Allen, Louisiana, US",725.797011,5.376344086
39003,Allen,Ohio,US,6/8/2020 3:33,40.77285242,-84.10802343,222,33,0,189,"Allen, Ohio, US",216.9006654,14.86486486
45005,Allendale,South Carolina,US,6/8/2020 3:33,32.98837386,-81.35321066,39,3,0,36,"Allendale, South Carolina, US",448.8950276,7.692307692
26007,Alpena,Michigan,US,6/8/2020 3:33,45.03477666,-83.62212411,95,9,0,86,"Alpena, Michigan, US",334.4481605,9.473684211
6003,Alpine,California,US,6/8/2020 3:33,38.59678594,-119.8223594,2,0,0,2,"Alpine, California, US",177.1479185,0
6005,Amador,California,US,6/8/2020 3:33,38.44583082,-120.65696,10,0,0,10,"Amador, California, US",25.155967,0
51007,Amelia,Virginia,US,6/8/2020 3:33,37.34081025,-77.98584649,31,1,0,30,"Amelia, Virginia, US",235.8311145,3.225806452
51009,Amherst,Virginia,US,6/8/2020 3:33,37.60308293,-79.14548696,27,0,0,27,"Amherst, Virginia, US",85.42952065,0
28005,Amite,Mississippi,US,6/8/2020 3:33,31.17467303,-90.80501621,65,1,0,64,"Amite, Mississippi, US",528.5842075,1.538461538
2020,Anchorage,Alaska,US,6/8/2020 3:33,61.14998174,-149.1426986,272,4,0,268,"Anchorage, Alaska, US",94.44444444,1.470588235
20003,Anderson,Kansas,US,6/8/2020 3:33,38.21413251,-95.29272815,1,0,0,1,"Anderson, Kansas, US",12.72588445,0
21005,Anderson,Kentucky,US,6/8/2020 3:33,38.00671029,-84.99171713,25,1,0,24,"Anderson, Kentucky, US",109.9046028,4
45007,Anderson,South Carolina,US,6/8/2020 3:33,34.51828081,-82.63959517,279,9,0,270,"Anderson, South Carolina, US",137.7383268,3.225806452
47001,Anderson,Tennessee,US,6/8/2020 3:33,36.12684348,-84.19965764,47,2,0,45,"Anderson, Tennessee, US",61.05640573,4.255319149
48001,Anderson,Texas,US,6/8/2020 3:33,31.81534745,-95.65354823,87,0,0,87,"Anderson, Texas, US",150.6884905,0
29003,Andrew,Missouri,US,6/8/2020 3:33,39.98492163,-94.80163024,33,0,0,33,"Andrew, Missouri, US",186.3143631,0
48003,Andrews,Texas,US,6/8/2020 3:33,32.30468633,-102.6376548,27,0,0,27,"Andrews, Texas, US",144.3464314,0
23001,Androscoggin,Maine,US,6/8/2020 3:33,44.1664747,-70.20380627,367,3,0,364,"Androscoggin, Maine, US",338.9454824,0.817438692
48005,Angelina,Texas,US,6/8/2020 3:33,31.25457347,-94.60901487,237,5,0,232,"Angelina, Texas, US",273.3091161,2.109704641
24003,Anne Arundel,Maryland,US,6/8/2020 3:33,39.00670238,-76.60329337,4236,185,0,4051,"Anne Arundel, Maryland, US",731.310662,4.367327668
