id,state,abbr,state2,poverty,povertyMoe,age,ageMoe,income,incomeMoe,healthcare,healthcareLow,healthcareHigh,obesity,obesityLow,obesityHigh,smokes,smokesLow,smokesHigh,Unemployed_2000,Unemployed_2001,Unemployed_2002,Unemployed_2003,Unemployed_2004,Unemployed_2005,Unemployed_2006,Unemployed_2007,Unemployed_2008,Unemployed_2009,Unemployed_2010,Unemployed_2011,Unemployed_2012,Unemployed_2013,Unemployed_2014,Unemployed_2015,Unemployed_2016,Unemployed_2017,Unemployed_2018,Unemployed_2019
1,Alabama,AL,Alabama,19.3,0.5,38.6,0.2,42830,598,13.9,12.7,15.1,33.5,32.1,35,21.1,19.8,22.5,195263,217038,248487,254989,243140,192477,175154,172968,246024,476506,462975,424515,346098,313918,293107,262956,254618,192989,171563,134529
2,Alaska,AK,Alaska,11.2,0.9,33.3,0.3,71583,1784,15,13.3,16.6,29.7,27.8,31.6,19.9,18.2,21.6,40731,41327,47643,51894,50198,47499,46302,44413,47647,55714,56993,55503,52092,50985,50161,47305,49626,49700,45523,42699
3,Arizona,AZ,Arizona,18.2,0.4,36.9,0.1,50068,483,14.4,13.3,15.6,28.9,27.7,30.2,16.5,15.4,17.6,198605,247571,326829,314292,281683,269708,252113,233798,381919,621066,640503,577094,505058,469459,421007,383629,346554,322630,324126,333511
4,Arkansas,AR,Arkansas,18.9,0.5,37.8,0.2,41262,653,16.3,14.4,18.2,35.9,33.8,38,24.7,22.7,26.7,107216,124366,139154,150800,148394,140937,141008,145428,150483,213021,221684,226342,203260,191437,158522,133850,106218,99605,98624,96708
5,California,CA,California,16.4,0.2,36,0.1,61933,238,14.8,13.8,15.8,24.7,23.5,25.9,12.9,11.9,13.8,1669260,1861522,2296827,2349561,2159270,1894831,1729373,1922986,2647283,4065137,4488659,4313937,3842246,3333182,2807543,2336223,2082194,1838533,1640191,1568393
6,Colorado,CO,Colorado,12,0.4,36.3,0.1,61303,487,12.8,11.9,13.6,21.3,20.4,22.2,15.7,14.8,16.6,130215,181872,270615,296048,277607,257641,225029,198921,262764,397082,476028,457632,434561,379197,280252,220581,189430,167544,194330,173336
7,Connecticut,CT,Connecticut,10.8,0.5,40.5,0.2,70048,828,8.7,7.6,9.7,26.3,24.8,27.7,15.4,14.2,16.7,84429,110111,154052,192671,175965,175189,158922,166094,213547,300216,348525,337615,315161,291148,249728,216160,194617,178624,157549,142730
8,Delaware,DE,Delaware,12.5,0.9,39.6,0.3,59716,1674,8.7,7.4,9.9,30.7,28.6,32.7,19.9,17.9,21.8,30947,29506,33528,35377,33569,35888,31570,30522,44255,72376,73100,66521,64230,59218,51724,45263,42652,42685,36463,36839
10,Florida,FL,Florida,16.5,0.3,41.6,0.1,47463,329,17.6,16.4,18.8,26.2,25,27.5,17.7,16.5,18.8,581831,749196,916120,855096,781045,643996,581364,734713,1156724,1893405,2036814,1857809,1588654,1367326,1202102,1046818,940114,848215,729764,641382
11,Georgia,GA,Georgia,18.3,0.4,36.1,0.1,49321,543,20.9,19.3,22.5,30.5,28.9,32.1,17.4,15.9,18.8,301391,344973,433645,423840,425472,490395,443301,436361,608493,951793,989255,970908,878574,779566,671036,571812,527714,473119,400881,350019
