Row Labels,Sum of Unemployed_2000,Sum of Unemployed_2001,Sum of Unemployed_2002,Sum of Unemployed_2003,Sum of Unemployed_2004,Sum of Unemployed_2005,Sum of Unemployed_2006,Sum of Unemployed_2007,Sum of Unemployed_2008,Sum of Unemployed_2009,Sum of Unemployed_2010,Sum of Unemployed_2011,Sum of Unemployed_2012,Sum of Unemployed_2013,Sum of Unemployed_2014,Sum of Unemployed_2015,Sum of Unemployed_2016,Sum of Unemployed_2017,Sum of Unemployed_2018,Sum of Unemployed_2019
AK,40731,41327,47643,51894,50198,47499,46302,44413,47647,55714,56993,55503,52092,50985,50161,47305,49626,49700,45523,42699
AL,195263,217038,248487,254989,243140,192477,175154,172968,246024,476506,462975,424515,346098,313918,293107,262956,254618,192989,171563,134529
AR,107216,124366,139154,150800,148394,140937,141008,145428,150483,213021,221684,226342,203260,191437,158522,133850,106218,99605,98624,96708
AZ,198605,247571,326829,314292,281683,269708,252113,233798,381919,621066,640503,577094,505058,469459,421007,383629,346554,322630,324126,333511
CA,1669260,1861522,2296827,2349561,2159270,1894831,1729373,1922986,2647283,4065137,4488659,4313937,3842246,3333182,2807543,2336223,2082194,1838533,1640191,1568393
CO,130215,181872,270615,296048,277607,257641,225029,198921,262764,397082,476028,457632,434561,379197,280252,220581,189430,167544,194330,173336
CT,84429,110111,154052,192671,175965,175189,158922,166094,213547,300216,348525,337615,315161,291148,249728,216160,194617,178624,157549,142730
DC,34766,39408,39206,41936,48688,40264,36594,35622,42704,62344,65114,71214,66010,63550,58874,53594,48248,48610,46072,44974
DE,30947,29506,33528,35377,33569,35888,31570,30522,44255,72376,73100,66521,64230,59218,51724,45263,42652,42685,36463,36839
FL,581831,749196,916120,855096,781045,643996,581364,734713,1156724,1893405,2036814,1857809,1588654,1367326,1202102,1046818,940114,848215,729764,641382
GA,301391,344973,433645,423840,425472,490395,443301,436361,608493,951793,989255,970908,878574,779566,671036,571812,527714,473119,400881,350019
HI,51467,54885,50661,49599,41512,35911,33375,35720,55142,90336,89934,89868,77767,63732,57940,48012,40334,33290,33857,36038
IA,83637,107447,130706,144616,144058,139195,122112,122689,141200,216331,201669,184404,166525,158605,144236,127684,122228,104443,88501,95618
ID,61967,68768,76080,77345,69243,58761,52064,46404,77002,132820,136463,127425,111101,94399,75367,65237,61556,53521,49844,51295
IL,564134,688494,830689,851230,784640,727796,590866,663190,837234,1350863,1376553,1277061,1182452,1185450,923424,776187,760671,638560,558307,511710
