State,FIPS,County,White,Black,Native,Asian,Hispanic
Alabama,1001,Autauga,76.72523875,19.63094189,0.480207191,1.224798115,2.965773997
Alabama,1003,Baldwin,87.2852281,8.940382163,0.772399116,1.150342626,4.646778765
Alabama,1005,Barbour,49.06957116,48.39837627,0.659137494,0.45416181,4.276355452
Alabama,1007,Bibb,76.83482143,21.29464286,0.4375,0.236607143,2.625
Alabama,1009,Blount,95.87828492,1.642461964,0.653526971,0.319847856,9.571230982
Alabama,1011,Bullock,26.24778063,70.70428092,0.838429671,0.187413691,7.960149931
Alabama,1013,Butler,52.25101626,44.91361789,0.37601626,1.316056911,1.509146341
Alabama,1015,Calhoun,75.27848998,21.13548658,0.539916169,0.96432353,3.910673189
Alabama,1017,Chambers,57.0638108,40,0.306410828,1.326788636,2.561356537
Alabama,1019,Cherokee,93.02781192,4.260141364,0.660725261,0.338045482,1.621081746
Alabama,1021,Chilton,87.10393405,10.37075623,0.566212941,0.48694313,7.926981179
Alabama,1023,Choctaw,57.18401994,41.70235963,0.186901332,0.179113776,1.043532435
Alabama,1025,Clarke,53.43227425,44.62374582,0.526755853,0.434782609,1.362876254
Alabama,1027,Clay,83.20903955,14.07156309,0.542372881,0.241054614,3.013182674
Alabama,1029,Cleburne,94.97564556,2.94255021,0.49376126,0.220190832,2.482151198
Alabama,1031,Coffee,75.84041303,17.70791192,1.410160088,1.635554528,7.580573696
Alabama,1033,Colbert,80.59968591,16.20649355,0.662868412,0.589825061,2.675212739
Alabama,1035,Conecuh,51.63313513,46.26537428,0.513154679,0.211778122,2.150362466
Alabama,1037,Coosa,66.88754083,30.8819412,0.597293514,0.139990667,2.519832011
Alabama,1039,Covington,84.54279998,12.61017682,0.692153788,0.465040826,1.74931055
Alabama,1041,Crenshaw,72.78645833,23.46643519,0.629340278,1.121238426,2.314814815
Alabama,1043,Cullman,95.85700247,1.337455957,0.645957671,0.67232329,4.433019343
Alabama,1045,Dale,73.77849498,20.96167988,0.800719013,1.419642128,6.638614266
Alabama,1047,Dallas,27.74732446,70.46202036,0.289741582,0.582093448,1.111981206
Alabama,1049,DeKalb,92.71415563,1.856132241,2.029838201,0.515514464,14.84205365
Alabama,1051,Elmore,75.4698548,21.45639723,0.519007901,0.709514331,3.012688217
Alabama,1053,Escambia,62.02242299,31.67247197,3.872319582,0.304778491,2.468161533
Alabama,1055,Etowah,80.77579731,15.70131023,0.608774549,0.831211403,4.01557058
Alabama,1057,Fayette,85.65690988,11.98807278,0.468569342,0.438142762,1.807338891
Alabama,1059,Franklin,91.63026496,4.54994739,1.546408188,0.341166343,17.75021522
Alabama,1061,Geneva,87.21973094,9.466443718,1.026069773,0.342023258,4.043474956
Alabama,1063,Greene,18.45013968,80.12875015,0.3279485,0.267217296,1.664034981
Alabama,1065,Hale,40.66277333,58.13527095,0.251256281,0.285209833,1.358142062
Alabama,1067,Henry,71.35801034,26.28275902,0.493927596,0.371898425,2.673019931
Alabama,1069,Houston,69.06285212,27.20631768,0.5404786,1.059949199,3.438627986
Alabama,1071,Jackson,91.26140405,3.585511056,1.68161435,0.585665687,2.953456007
Alabama,1073,Jefferson,53.15592295,43.45533141,0.28697103,1.77096921,3.980888821
Alabama,1075,Lamar,87.2869113,10.58942502,0.288933834,0.101126842,1.69026293
Alabama,1077,Lauderdale,86.97976988,10.06418652,0.451362205,0.766341585,2.861874506
Alabama,1079,Lawrence,78.19886519,10.94152987,5.80453318,0.23363777,2.227144461
Alabama,1081,Lee,70.56807022,23.08879414,0.372695055,4.194191813,3.759889228
Alabama,1083,Limestone,81.16122861,13.84989706,0.826626739,1.596065465,6.145111985
Alabama,1085,Lowndes,25.9173852,72.54862643,0.370964508,0.441146982,1.734509725
Alabama,1087,Macon,16.9640436,80.73105917,0.265741092,0.607408211,1.82764792
Alabama,1089,Madison,68.84718118,24.90266535,0.809780666,2.677896644,5.068768604
Alabama,1091,Marengo,46.88450645,51.37417392,0.241267177,0.304206441,2.580509808
Alabama,1093,Marion,94.02949971,3.877297315,0.423344421,0.325908007,2.573665289
Alabama,1095,Marshall,93.00273648,3.02365023,1.121643134,0.733542124,14.32540137
Alabama,1097,Mobile,59.20069026,36.09099061,0.938956924,2.065946921,3.056866712
Alabama,1099,Monroe,55.11938102,41.23036028,1.343333175,0.469929273,1.613898514
Alabama,1101,Montgomery,35.94255923,59.01277003,0.336636207,3.190513946,3.515633651
Alabama,1103,Morgan,82.78766301,13.04822444,1.100857342,0.701995986,8.453341618
Alabama,1105,Perry,30.53610503,67.88840263,0.262582057,0.601750547,1.444201313
